,meandom,class
sample175,0.118719363,male
sample176,0.329345703,male
sample177,0.395148026,male
sample178,0.10546875,male
sample179,0.569010417,male
sample180,0.239583333,male
sample181,0.663802083,male
sample182,0.747983871,male
sample183,0.265269886,male
sample184,0.233705357,male
sample185,0.214192708,male
sample186,0.101102941,male
sample187,0.119791667,male
sample188,0.146484375,male
sample189,0.231119792,male
sample190,0.1359375,male
sample191,0.118990385,male
sample192,0.106770833,male
sample193,0.34765625,male
sample194,0.1475,male
sample195,0.1515625,male
sample196,1.655691964,male
sample197,0.673233696,male
sample198,0.777113971,male
sample199,0.970898438,male
sample200,0.889229911,male
sample201,1.248342803,male
sample202,1.149251302,male
sample203,0.774739583,male
sample204,0.667689732,male
sample205,0.845788043,male
sample206,1.107244318,male
sample207,1.44765625,male
sample208,1.270625,male
sample209,2.027777778,male
sample210,1.359375,male
sample211,1.591733871,male
sample212,1.306581439,male
sample213,1.089133523,male
sample214,1.082421875,male
sample215,1.003038194,male
sample216,0.246323529,male
sample217,0.663125,male
sample218,0.331845238,male
sample219,0.536892361,male
sample220,0.384943182,male
sample221,0.409855769,male
sample222,0.387939453,male
sample223,0.458125,male
sample224,0.65234375,male
sample225,0.816271552,male
sample226,0.493489583,male
sample227,0.066189236,male
sample228,0.096643519,male
sample229,0.16640625,male
sample230,0.07625,male
sample231,0.149414063,male
sample232,0.104352679,male
sample233,0.818125,male
sample234,0.223958333,male
sample235,0.086588542,male
sample236,0.08130787,male
sample237,0.211160714,male
sample238,0.098606419,male
sample239,0.07890625,male
sample240,0.129734848,male
sample241,0.100097656,male
sample242,0.10474537,male
sample243,0.10619213,male
sample244,0.077008929,male
sample245,0.074074074,male
sample246,0.09453125,male
sample247,0.0078125,male
sample248,0.0078125,male
sample249,0.0078125,male
sample250,0.0078125,male
sample251,0.0078125,male
sample252,0.0078125,male
sample253,0.0078125,male
sample254,0.0078125,male
sample255,0.0078125,male
sample256,0.0078125,male
sample257,0.897865854,male
sample258,0.457868304,male
sample259,0.6875,male
sample260,0.831473214,male
sample261,0.3459375,male
sample262,0.410984848,male
sample263,0.627441406,male
sample264,1.095748547,male
sample265,0.986037234,male
sample266,0.402698864,male
sample267,0.90625,male
sample268,0.806295956,male
sample269,0.158717105,male
sample270,0.293945313,male
sample271,0.247944079,male
sample272,0.117466518,male
sample273,0.121504934,male
sample274,0.371651786,male
sample275,0.479724702,male
sample276,0.652901786,male
sample277,0.444475446,male
sample278,0.52578125,male
sample279,0.569711538,male
sample280,0.383820565,male
sample281,0.523026316,male
sample282,0.560763889,male
sample283,0.755580357,male
sample284,0.213541667,male
sample285,0.435444079,male
sample286,0.649414063,male
sample287,0.447328629,male
sample288,1.0003125,male
sample289,0.168526786,male
sample290,0.448601974,male
sample291,0.105872845,male
sample292,0.183363971,male
sample293,0.246760671,male
sample294,0.292295259,male
sample295,0.095552885,male
sample296,0.030949519,male
sample297,0.232717803,male
sample298,0.233072917,male
sample299,0.818125,male
sample300,1.1734375,male
sample301,0.818164063,male
sample302,0.971494932,male
sample303,1.185388514,male
sample304,0.462357955,male
sample305,0.555921053,male
sample306,0.241210938,male
sample307,0.407738095,male
sample308,0.253125,male
sample309,0.249495968,male
sample310,0.251674107,male
sample311,0.283967391,male
sample312,0.357291667,male
sample313,0.551535866,male
sample314,0.48781622,male
sample315,0.44921875,male
sample316,0.552423651,male
sample317,1.152980639,male
sample318,1.016438802,male
sample319,1.064675071,male
sample320,1.205124628,male
sample321,0.692894345,male
sample322,0.52657278,male
sample323,0.524773849,male
sample324,0.458519345,male
sample325,0.618489583,male
sample326,0.633480674,male
sample327,0.73187934,male
sample328,0.735762747,male
sample329,0.366675967,male
sample330,0.455433239,male
sample331,0.413876488,male
sample332,0.544433594,male
sample333,0.415039063,male
sample334,0.369140625,male
sample335,0.322779605,male
sample336,0.321044922,male
sample337,0.472861842,male
sample338,0.327370384,male
sample339,0.504985609,male
sample340,0.609188988,male
sample341,0.628773082,male
sample342,0.353422619,male
sample343,0.495990954,male
sample344,1.054199219,male
sample345,0.58547247,male
sample346,0.646306818,male
sample347,0.987881747,male
sample348,1.016322545,male
sample349,0.758231027,male
sample350,0.809616815,male
sample351,0.975896662,male
sample352,0.471075149,male
sample353,0.21530878,male
sample354,0.273204985,male
sample355,0.551757813,male
sample356,0.33140121,male
sample357,0.3171875,male
sample358,0.314924569,male
sample359,0.706088362,male
sample360,0.310677083,male
sample361,0.69828869,male
sample362,0.398763021,male
sample363,0.197916667,male
sample364,0.203683036,male
sample365,0.682291667,male
sample366,0.689732143,male
sample367,0.348357372,male
sample368,0.640869141,male
sample369,0.538335756,male
sample370,0.354352679,male
sample371,0.4575,male
sample372,0.598144531,male
sample373,0.518682065,male
sample374,0.4375,male
sample375,0.310546875,male
sample376,0.324404762,male
sample377,0.495793269,male
sample378,0.696514423,male
sample379,0.983854167,male
sample380,0.519736842,male
sample381,1.315504808,male
sample382,0.752232143,male
sample383,0.803267045,male
sample384,0.6328125,male
sample385,0.808423913,male
sample386,0.790178571,male
sample387,0.28046875,male
sample388,1.069010417,male
sample389,0.339583333,male
sample390,0.695913462,male
sample391,0.565290179,male
sample392,0.35,male
sample393,0.63984375,male
sample394,0.423958333,male
sample395,0.981158088,male
sample396,0.689453125,male
sample397,0.921875,male
sample398,0.7278125,male
sample399,1.056066176,male
sample400,0.558763587,male
sample401,0.686491935,male
sample402,0.9603125,male
sample403,0.520380435,male
sample404,0.759672619,male
sample405,0.509672619,male
sample406,0.7353125,male
sample407,0.796875,male
sample408,0.80546875,male
sample409,0.765964674,male
sample410,1.095269097,male
sample411,0.493229167,male
sample412,0.481026786,male
sample413,1.325639205,male
sample414,0.275,male
sample415,0.58512931,male
sample416,0.787703804,male
sample417,0.93125,male
sample418,0.674252717,male
sample419,0.584635417,male
sample420,0.532877604,male
sample421,0.880022321,male
sample422,0.925480769,male
sample423,0.314555921,male
sample424,0.592285156,male
sample425,0.408380682,male
sample426,0.952302632,male
sample427,0.456752232,male
sample428,0.943933824,male
sample429,0.670758929,male
sample430,0.879185268,male
sample431,0.885817308,male
sample432,0.564555921,male
sample433,0.406960227,male
sample434,1.249526515,male
sample435,0.658203125,male
sample436,0.659179688,male
sample437,0.696875,male
sample438,0.891493056,male
sample439,0.358258929,male
sample440,0.627297794,male
sample441,0.890190972,male
sample442,0.8828125,male
sample443,0.393629808,male
sample444,0.295496324,male
sample445,0.546875,male
sample446,0.689732143,male
sample447,0.984627016,male
sample448,1.000679348,male
sample449,0.430338542,male
sample450,0.3671875,male
sample451,0.572716346,male
sample452,1.387746711,male
sample453,0.770970395,male
sample454,0.132308468,male
sample455,0.256103516,male
sample456,0.521925403,male
sample457,0.170516304,male
sample458,0.166666667,male
sample459,0.59453125,male
sample460,0.079799107,male
sample461,0.065272177,male
sample462,0.104082661,male
sample463,0.089732143,male
sample464,0.056848404,male
sample465,0.068834459,male
sample466,0.08266129,male
sample467,0.620605469,male
sample468,1.094105114,male
sample469,0.960181452,male
sample470,0.791015625,male
sample471,0.750339674,male
sample472,1.397235577,male
sample473,1.098557692,male
sample474,1.454241071,male
sample475,1.338020833,male
sample476,0.806361607,male
sample477,0.990885417,male
sample478,1.088694853,male
sample479,1.25,male
sample480,0.679315476,male
sample481,1.916875,male
sample482,1.631167763,male
sample483,0.83984375,male
sample484,1.268229167,male
sample485,0.574739583,male
sample486,1.106212798,male
sample487,1.214021382,male
sample488,0.681152344,male
sample489,0.762408088,male
sample490,0.7503125,male
sample491,0.685112847,male
sample492,0.435396635,male
sample493,0.994904891,male
sample494,0.878605769,male
sample495,0.921164773,male
sample496,0.468327703,male
sample497,1.1171875,male
sample498,0.640950521,male
sample499,0.901041667,male
sample500,0.398148148,male
sample501,0.671875,male
sample502,0.852678571,male
sample503,0.299045139,male
sample504,1.334635417,male
sample505,0.230324074,male
sample506,0.485821759,male
sample507,0.140429688,male
sample508,0.350506757,male
sample509,0.253787879,male
sample510,0.280273438,male
sample511,0.238064236,male
sample512,0.609675481,male
sample513,0.525331439,male
sample514,0.261126894,male
sample515,0.426915323,male
sample516,0.4890625,male
sample517,0.597426471,male
sample518,0.470982143,male
sample519,0.414362981,male
sample520,0.669744318,male
sample521,0.474537037,male
sample522,0.37046371,male
sample523,0.0078125,male
sample524,0.010318396,male
sample525,0.0078125,male
sample526,0.0078125,male
sample527,0.020359848,male
sample528,0.0078125,male
sample529,0.0078125,male
sample530,0.0078125,male
sample531,0.0078125,male
sample532,0.025146484,male
sample533,0.29857337,male
sample534,0.242897727,male
sample535,0.201746324,male
sample536,0.360625,male
sample537,0.221354167,male
sample538,0.0078125,male
sample539,0.0078125,male
sample540,0.0078125,male
sample541,0.0078125,male
sample542,0.0078125,male
sample543,0.0078125,male
sample544,0.0078125,male
sample545,0.0078125,male
sample546,0.0078125,male
sample547,0.0078125,male
sample548,0.891493056,male
sample549,0.784646739,male
sample550,0.396059783,male
sample551,0.701522436,male
sample552,0.676993534,male
sample553,0.8040625,male
sample554,0.508789063,male
sample555,0.754971591,male
sample556,0.329391892,male
sample557,0.804917279,male
sample558,0.025669643,male
sample559,0.1953125,male
sample560,0.940429688,male
sample561,0.462015086,male
sample562,0.693576389,male
sample563,0.71875,male
sample564,1.204733456,male
sample565,0.735795455,male
sample566,0.5228125,male
sample567,0.60625,male
sample568,0.527994792,male
sample569,0.328125,male
sample570,0.348894817,male
sample571,0.170691288,male
sample572,0.409667969,male
sample573,0.366570724,male
sample574,0.460658482,male
sample575,0.456380208,male
sample576,0.839732143,male
sample577,0.187220982,male
sample578,0.1540625,male
sample579,0.326239224,male
sample580,0.368790064,male
sample581,0.645833333,male
sample582,0.445572917,male
sample583,0.479492188,male
sample584,0.593303571,male
sample585,0.2890625,male
sample586,0.4278125,male
sample587,0.318709936,male
sample588,0.372896635,male
sample589,0.288574219,male
sample590,0.479166667,male
sample591,0.270733173,male
sample592,0.5984375,male
sample593,0.47265625,male
sample594,0.25390625,male
sample595,0.322395833,male
sample596,0.202636719,male
sample597,0.214133523,male
sample598,0.258789063,male
sample599,0.239762931,male
sample600,0.241365132,male
sample601,0.140625,male
sample602,0.240149457,male
sample603,0.221235795,male
sample604,0.06875,male
sample605,0.206414474,male
sample606,0.404903017,male
sample607,0.312872024,male
sample608,0.184895833,male
sample609,0.424715909,male
sample610,0.498934659,male
sample611,0.21640625,male
sample612,0.258184524,male
sample613,0.25625,male
sample614,0.333079268,male
sample615,0.2578125,male
sample616,0.595880682,male
sample617,0.444602273,male
sample618,0.818256579,male
sample619,0.444824219,male
sample620,0.402455357,male
sample621,0.24453125,male
sample622,0.355282738,male
sample623,0.411764706,male
sample624,0.440272177,male
sample625,0.490885417,male
sample626,0.339988426,male
sample627,0.260850694,male
sample628,0.194957386,male
sample629,0.657226563,male
sample630,0.176432292,male
sample631,0.412860577,male
sample632,0.280838816,male
sample633,0.388764881,male
sample634,0.977864583,male
sample635,0.1975,male
sample636,0.11328125,male
sample637,0.6484375,male
sample638,0.691002155,male
sample639,0.454769737,male
sample640,0.421519886,male
sample641,0.656828704,male
sample642,0.588216146,male
sample643,0.698016827,male
sample644,0.721467391,male
sample645,0.776278409,male
sample646,1.289508929,male
sample647,0.971153846,male
sample648,1.133854167,male
sample649,1.620738636,male
sample650,0.801930147,male
sample651,1.411458333,male
sample652,0.104256466,male
sample653,0.250269397,male
sample654,0.289641204,male
sample655,0.438100962,male
sample656,0.350883152,male
sample657,0.1953125,male
sample658,0.380859375,male
sample659,0.215820313,male
sample660,0.297619048,male
sample661,0.500651042,male
sample662,0.151726974,male
sample663,0.481770833,male
sample664,0.578125,male
sample665,0.427283654,male
sample666,0.558919271,male
sample667,0.89765625,male
sample668,0.650505515,male
sample669,0.519314236,male
sample670,0.944196429,male
sample671,0.688519022,male
sample672,0.596976902,male
sample673,0.511067708,male
sample674,0.560191761,male
sample675,0.466889881,male
sample676,0.609421503,male
sample677,0.830502717,male
sample678,0.313895089,male
sample679,0.572916667,male
sample680,0.480143229,male
sample681,0.425914418,male
sample682,0.305059524,male
sample683,0.343889509,male
sample684,0.400878906,male
sample685,0.561988467,male
sample686,0.543767756,male
sample687,0.470947266,male
sample688,0.469415838,male
sample689,0.520600818,male
sample690,0.438787287,male
sample691,0.313895089,male
sample692,0.420735677,male
sample693,0.337338655,male
sample694,0.389071378,male
sample695,0.432477679,male
sample696,0.348378057,male
sample697,0.367838542,male
sample698,0.364435369,male
sample699,0.270414807,male
sample700,0.463018003,male
sample701,0.525483631,male
sample702,0.57686942,male
sample703,0.422119141,male
sample704,0.40399966,male
sample705,0.557528409,male
sample706,0.403941761,male
sample707,0.465029762,male
sample708,0.519064198,male
sample709,0.658069957,male
sample710,0.562411222,male
sample711,0.439453125,male
sample712,0.68975034,male
sample713,0.434337798,male
sample714,0.520600818,male
sample715,0.471635298,male
sample716,0.449855639,male
sample717,0.593145461,male
sample718,0.322931463,male
sample719,0.421781994,male
sample720,0.414632161,male
sample721,0.373651414,male
sample722,0.33372962,male
sample723,0.294131324,male
sample724,0.299045139,male
sample725,0.934375,male
sample726,0.568865741,male
sample727,0.403556034,male
sample728,0.904513889,male
sample729,0.733928571,male
sample730,0.611111111,male
sample731,0.525568182,male
sample732,0.583125,male
sample733,0.986979167,male
sample734,0.309375,male
sample735,0.573350694,male
sample736,0.525390625,male
sample737,0.650752315,male
sample738,0.378676471,male
sample739,1.01171875,male
sample740,1.147898707,male
sample741,0.177604167,male
sample742,0.701171875,male
sample743,0.174479167,male
sample744,0.469805743,male
sample745,0.338975694,male
sample746,0.61402027,male
sample747,0.392485119,male
sample748,0.798363095,male
sample749,0.896809896,male
sample750,0.551809211,male
sample751,0.707981419,male
sample752,1.08984375,male
sample753,0.543125,male
sample754,0.896614583,male
sample755,0.454101563,male
sample756,0.593039773,male
sample757,0.604795259,male
sample758,0.450721154,male
sample759,0.695870536,male
sample760,0.623046875,male
sample761,0.68984375,male
sample762,0.729073661,male
sample763,0.420166016,male
sample764,0.696402616,male
sample765,0.48125,male
sample766,0.406032986,male
sample767,0.657258065,male
sample768,0.352539063,male
sample769,0.521289063,male
sample770,0.539601293,male
sample771,0.921401515,male
sample772,0.841064453,male
sample773,0.655625,male
sample774,0.602008929,male
sample775,0.794270833,male
sample776,0.740848214,male
sample777,0.443684896,male
sample778,0.348828125,male
sample779,0.348144531,male
sample780,0.591045673,male
sample781,0.301432292,male
sample782,0.6871875,male
sample783,0.759943182,male
sample784,0.8671875,male
sample785,1.125434028,male
sample786,0.738839286,male
sample787,0.169471154,male
sample788,0.888494318,male
sample789,0.478841146,male
sample790,0.816915761,male
sample791,0.433971774,male
sample792,0.911764706,male
sample793,0.2865625,male
sample794,1.001420455,male
sample795,0.62109375,male
sample796,0.553710938,male
sample797,0.522949219,male
sample798,0.311523438,male
sample799,0.935461957,male
sample800,0.625422297,male
sample801,0.545117188,male
sample802,0.509375,male
sample803,0.589355469,male
sample804,0.586458333,male
sample805,0.597470238,male
sample806,1.1046875,male
sample807,0.346875,male
sample808,0.968568314,male
sample809,0.682771382,male
sample810,0.701891447,male
sample811,0.704963235,male
sample812,0.88125,male
sample813,1.034254808,male
sample814,1.121570122,male
sample815,0.626674107,male
sample816,0.788602941,male
sample817,1.3703125,male
sample818,0.947620739,male
sample819,1.06726372,male
sample820,0.888822115,male
sample821,1.016773897,male
sample822,0.683728448,male
sample823,0.927014803,male
sample824,0.490675403,male
sample825,1.318509615,male
sample826,1.341517857,male
sample827,0.73255814,male
sample828,0.796875,male
sample829,1.343394886,male
sample830,1.111852134,male
sample831,1.144230769,male
sample832,0.664583333,male
sample833,0.959765625,male
sample834,1.565848214,male
sample835,0.458460366,male
sample836,0.794704861,male
sample837,0.673828125,male
sample838,1.092857143,male
sample839,0.424408784,male
sample840,1.19765625,male
sample841,1.347942073,male
sample842,0.561767578,male
sample843,1.005632267,male
sample844,1.038461538,male
sample845,0.791015625,male
sample846,0.742417279,male
sample847,0.6403125,male
sample848,0.981881649,male
sample849,1.027901786,male
sample850,0.829427083,male
sample851,1.104225852,male
sample852,0.577934451,male
sample853,1.815848214,male
sample854,0.798677885,male
sample855,0.711495536,male
sample856,0.57734375,male
sample857,1.606770833,male
sample858,1.26171875,male
sample859,0.862827035,male
sample860,0.920758929,male
sample861,0.813616071,male
sample862,1.072265625,male
sample863,0.443677326,male
sample864,1.557010135,male
sample865,0.8671875,male
sample866,1.456117021,male
sample867,1.032964939,male
sample868,0.9246875,male
sample869,0.6640625,male
sample870,0.318603516,male
sample871,1.235704787,male
sample872,0.891210938,male
sample873,0.614583333,male
sample874,0.556640625,male
sample875,1.034333882,male
sample876,1.569355867,male
sample877,0.874840561,male
sample878,1.018229167,male
sample879,0.614889706,male
sample880,0.82359375,male
sample881,0.65625,male
sample882,0.665421196,male
sample883,0.756310096,male
sample884,0.680706522,male
sample885,1.241709184,male
sample886,1.022727273,male
sample887,0.791940789,male
sample888,0.779411765,male
sample889,0.696933962,male
sample890,1.350398936,male
sample891,0.929521277,male
sample892,0.778424202,male
sample893,0.527901786,male
sample894,0.532579787,male
sample895,0.880489865,male
sample896,1.004464286,male
sample897,0.791601563,male
sample898,1.051962209,male
sample899,0.789257813,male
sample900,0.375,male
sample901,0.927688953,male
sample902,0.619791667,male
sample903,0.918323864,male
sample904,0.56640625,male
sample905,1.045833333,male
sample906,0.75234375,male
sample907,0.463955966,male
sample908,1.443080357,male
sample909,0.66328125,male
sample910,0.472005208,male
sample911,1.173108553,male
sample912,1.120174632,male
sample913,0.6609375,male
sample914,0.686655405,male
sample915,1.009992733,male
sample916,0.878633721,male
sample917,0.9703125,male
sample918,0.776041667,male
sample919,0.617745536,male
sample920,0.514453125,male
sample921,0.683254076,male
sample922,0.677246094,male
sample923,0.46484375,male
sample924,0.904575893,male
sample925,1.050327035,male
sample926,0.780523256,male
sample927,0.682412791,male
sample928,0.858525815,male
sample929,1.057221284,male
sample930,1.1484375,male
sample931,1.614508929,male
sample932,0.862980769,male
sample933,1.0078125,male
sample934,1.468386628,male
sample935,2.141113281,male
sample936,1.33643617,male
sample937,1.034598214,male
sample938,0.962572674,male
sample939,0.465049342,male
sample940,0.731534091,male
sample941,1.202955163,male
sample942,1.998958333,male
sample943,0.878320313,male
sample944,1.690770349,male
sample945,1.019270833,male
sample946,1.072574013,male
sample947,1.2109375,male
sample948,0.553571429,male
sample949,1.164257813,male
sample950,1.333426339,male
sample951,0.885416667,male
sample952,1.77006392,male
sample953,1.099158654,male
sample954,1.042018581,male
sample955,1.24830163,male
sample956,1.043285473,male
sample957,0.755580357,male
sample958,0.897017045,male
sample959,1.1053125,male
sample960,1.027832031,male
sample961,1.398607337,male
sample962,1.163884943,male
sample963,0.934821429,male
sample964,1.199898098,male
sample965,1.728156888,male
sample966,1.387746711,male
sample967,1.601041667,male
sample968,1.256569602,male
sample969,0.899414063,male
sample970,0.735538564,male
sample971,0.771524235,male
sample972,0.747141768,male
sample973,0.744140625,male
sample974,1.119549419,male
sample975,1.341517857,male
sample976,0.987304688,male
sample977,1.154296875,male
sample978,1.177604167,male
sample979,1.200457317,male
sample980,1.43018617,male
sample981,1.539663462,male
sample982,1.217606707,male
sample983,1.108695652,male
sample984,0.906709559,male
sample985,1.230741279,male
sample986,1.323153409,male
sample987,1.211825284,male
sample988,0.845464939,male
sample989,0.614430147,male
sample990,1.801757813,male
sample991,0.894440407,male
sample992,1.115828804,male
sample993,0.734964623,male
sample994,1.217578125,male
sample995,1.223958333,male
sample996,0.884885204,male
sample997,0.45625,male
sample998,1.206580529,male
sample999,0.454385081,male
sample1000,1.262222782,male
sample1001,1.318548387,male
sample1002,1.222592213,male
sample1003,1.019752358,male
sample1004,1.5375,male
sample1005,0.894460227,male
sample1006,1.147995283,male
sample1007,0.960085227,male
sample1008,1.856617647,male
sample1009,0.996841755,male
sample1010,1.146267361,male
sample1011,0.949005682,male
sample1012,1.202205882,male
sample1013,1.1746875,male
sample1014,0.562839674,male
sample1015,1.5703125,male
sample1016,0.4609375,male
sample1017,1.03685462,male
sample1018,1.461309524,male
sample1019,0.589453125,male
sample1020,0.921306818,male
sample1021,0.903941761,male
sample1022,1.437639509,male
sample1023,0.842881944,male
sample1024,1.131204044,male
sample1025,1.101074219,male
sample1026,1.271033654,male
sample1027,0.849420363,male
sample1028,0.881696429,male
sample1029,0.982069672,male
sample1030,0.765066964,male
sample1031,1.463040865,male
sample1032,1.29984375,male
sample1033,1.719769022,male
sample1034,0.916903409,male
sample1035,1.714339718,male
sample1036,0.858506944,male
sample1037,1.166277985,male
sample1038,1.206653226,male
sample1039,0.7265625,male
sample1040,1.441002155,male
sample1041,1.466589096,male
sample1042,0.916932398,male
sample1043,1.47781808,male
sample1044,1.498579545,male
sample1045,1.151633523,male
sample1046,1.31375558,male
sample1047,1.835658482,male
sample1048,0.718039773,male
sample1049,1.707704741,male
sample1050,1.017378827,male
sample1051,1.26328125,male
sample1052,0.516145833,male
sample1053,0.496002907,male
sample1054,1.235085227,male
sample1055,1.30689538,male
sample1056,0.795572917,male
sample1057,0.536132813,male
sample1058,1.309943182,male
sample1059,1.15546875,male
sample1060,1.40625,male
sample1061,1.142708333,male
sample1062,1.907291667,male
sample1063,1.11627907,male
sample1064,1.280400815,male
sample1065,1.199707031,male
sample1066,1.032315341,male
sample1067,1.136957908,male
sample1068,1.082261029,male
sample1069,0.928485577,male
sample1070,0.748471467,male
sample1071,1.071340461,male
sample1072,1.443953804,male
sample1073,0.68359375,male
sample1074,1.053571429,male
sample1075,1.240017361,male
sample1076,0.978515625,male
sample1077,1.090144231,male
sample1078,1.032393293,male
sample1079,1.16870777,male
sample1080,0.927455357,male
sample1081,0.888338415,male
sample1082,0.865808824,male
sample1083,1.325954861,male
sample1084,1.184765625,male
sample1085,0.670673077,male
sample1086,1.10767663,male
sample1087,1.468229167,male
sample1088,0.850731383,male
sample1089,0.778888081,male
sample1090,1.192116477,male
sample1091,1.1171875,male
sample1092,1.123401989,male
sample1093,0.5,male
sample1094,1.386541193,male
sample1095,0.758333333,male
sample1096,0.792091837,male
sample1097,1.190198864,male
sample1098,1.639190051,male
sample1099,0.780868902,male
sample1100,1.5234375,male
sample1101,1.005632267,male
sample1102,0.790409483,male
sample1103,1.311035156,male
sample1104,0.511948529,male
sample1105,0.822443182,male
sample1106,1.173018293,male
sample1107,1.024816176,male
sample1108,0.7890625,male
sample1109,1.195790816,male
sample1110,1.078634511,male
sample1111,1.647549716,male
sample1112,1.621675532,male
sample1113,1.643229167,male
sample1114,0.777644231,male
sample1115,1.479992378,male
sample1116,0.768465909,male
sample1117,0.697115385,male
sample1118,1.521802326,male
sample1119,0.782012195,male
sample1120,1.245916193,male
sample1121,1.848899148,male
sample1122,1.406821646,male
sample1123,1.298564189,male
sample1124,1.092087766,male
sample1125,0.8559375,male
sample1126,1.612926136,male
sample1127,0.510267857,male
sample1128,1.957481971,male
sample1129,1.426257622,male
sample1130,0.798943015,male
sample1131,1.190167683,male
sample1132,1.913699128,male
sample1133,1.089488636,male
sample1134,1.474275915,male
sample1135,1.81875,male
sample1136,1.079653533,male
sample1137,1.436383929,male
sample1138,1.227726064,male
sample1139,2.805245536,male
sample1140,1.701660156,male
sample1141,0.967797256,male
sample1142,0.950683594,male
sample1143,1.75265625,male
sample1144,1.452615489,male
sample1145,1.962209302,male
sample1146,1.217708333,male
sample1147,1.261623476,male
sample1148,1.850360577,male
sample1149,1.862413194,male
sample1150,1.939328457,male
sample1151,0.889583333,male
sample1152,1.090909091,male
sample1153,0.759960938,male
sample1154,0.861328125,male
sample1155,1.464477539,male
sample1156,0.918064024,male
sample1157,0.533078457,male
